date,trades,volume_usd,closed_pnl,net_pnl,win_rate,sentiment_value
2024-10-31,48,896173.36,1214.043811,901.332883,0.7083333333333334,77.0
2024-11-01,23,260981.03,1040.475736,949.820861,0.2608695652173913,75.0
2024-11-02,2,40000.0,0.0,-13.999997,0.0,72.0
2024-11-03,6,129055.66,0.0,-40.404152,0.0,74.0
2024-11-04,36,451811.97,2799.410474,2641.2762940000002,0.6388888888888888,70.0
2024-11-05,10,200627.23,678.4759280000001,608.256404,0.5,70.0
2024-11-06,15,123906.9,2817.83723,2774.46982,0.4666666666666667,70.0
2024-11-07,113,111335.3,4493.353136,4467.17469362,0.5309734513274337,77.0
2024-11-08,39,270700.44,-64.41354100000007,-158.29179800000006,0.15384615384615385,75.0
2024-11-09,86,193384.41,102.90894,36.724437,0.22093023255813954,75.0
2024-11-10,173,413636.7,991.114334,848.800788,0.2947976878612717,78.0
2024-11-11,373,1570572.42,6749.630996,6352.720446,0.24664879356568364,76.0
2024-11-12,171,1226354.52,3494.399394,3066.494541,0.19883040935672514,80.0
2024-11-13,48,515336.37,7846.402274,7667.2182060000005,0.5625,84.0
2024-11-14,110,1008361.81,4563.509225,4228.480423,0.2545454545454545,88.0
2024-11-15,149,1427858.42,4140.740438,3674.312925,0.3691275167785235,80.0
2024-11-16,157,303296.07,2769.521909,2669.350606,0.3057324840764331,86.0
2024-11-17,209,1215987.57,882.975285,611.863596,0.23444976076555024,90.0
2024-11-18,346,2084339.58,4470.815187,4025.710848,0.3583815028901734,83.0
2024-11-19,305,628031.15,2958.268991,2756.782058,0.4918032786885246,90.0
2024-11-20,550,1999514.1199999999,4210.0928969999995,3566.035528,0.3981818181818182,83.0
2024-11-21,535,598300.62,1692.430891,1493.802624,0.308411214953271,82.0
2024-11-22,679,1646713.62,-18105.345617,-18541.784676,0.3078055964653903,94.0
2024-11-23,363,516245.68,2901.531638,2746.909771,0.3526170798898072,93.0
2024-11-24,172,664952.28,945.550386,742.96726,0.26744186046511625,80.0
2024-11-25,255,937410.87,5523.740734,5239.961033,0.4117647058823529,82.0
2024-11-26,302,1146902.44,1094.809359,783.510881,0.2913907284768212,79.0
2024-11-27,213,1444242.53,-2654.495633,-3094.210169,0.3474178403755869,75.0
2024-11-28,332,1894225.15,-127075.39958499999,-127390.981594,0.32831325301204817,77.0
2024-11-29,393,794262.91,176844.994152,176652.54241643,0.48854961832061067,78.0
2024-11-30,373,1732193.7,37316.69352,36764.3181805,0.42091152815013405,84.0
2024-12-01,416,814711.82,40886.364494,40640.98074262,0.53125,81.0
2024-12-02,270,585243.56,18489.604313,18341.71649941,0.4074074074074074,80.0
2024-12-03,374,1084666.53,23576.539285,23245.966193289998,0.4304812834224599,76.0
2024-12-04,319,769287.65,292891.815021,292719.20860335,0.46394984326018807,78.0
2024-12-05,456,1256750.79,71574.11848800001,71221.35276477,0.4232456140350877,84.0
2024-12-06,403,3471019.22,-92624.643895,-93316.63768087,0.23325062034739455,72.0
2024-12-07,304,451733.42,85906.279067,85797.8270291,0.4309210526315789,75.0
2024-12-08,420,932939.72,15965.933436,15731.75455254,0.3619047619047619,79.0
2024-12-09,539,983949.68,6310.967676,6136.19423957,0.31910946196660483,78.0
2024-12-10,1596,3150424.08,39325.770231,38872.22954565,0.5870927318295739,78.0
2024-12-11,1221,2194098.33,319051.554217,318638.04498694,0.7125307125307125,74.0
2024-12-12,1932,4557189.87,599151.795008,598452.82955649,0.6997929606625258,83.0
2024-12-13,1173,2880824.64,31935.901745,31482.67436864,0.40153452685422,76.0
2024-12-14,1235,2369561.78,167801.399244,167569.30779897,0.47368421052631576,83.0
2024-12-15,1697,2583269.81,97525.315279,97293.98470862,0.24572775486152032,80.0
2024-12-16,1055,2740808.97,166774.344133,166372.194077,0.5071090047393365,83.0
2024-12-17,1941,5233597.63,219591.305172,218845.16478602,0.4363730036063885,87.0
2024-12-18,1429,3798887.07,13682.994673,12991.54670279,0.36599020293911827,81.0
2024-12-19,3339,8241709.39,62744.004486000005,61687.771306919996,0.6148547469302186,75.0
2024-12-20,2488,7681274.71,254969.660039,253758.82173322001,0.5558681672025724,74.0
2024-12-21,1681,4382875.12,150022.163157,149341.77155987,0.5496728138013087,73.0
2024-12-22,774,3087320.22,352197.163973,351864.10712847,0.4354005167958656,73.0
2024-12-23,2347,6771878.26,-29430.626577,-30631.523523569995,0.2901576480613549,70.0
2024-12-24,338,1767036.11,14813.780116,14426.99767577,0.33727810650887574,73.0
2024-12-25,208,347889.35,756.6570469999998,690.1382647799999,0.30288461538461536,73.0
2024-12-26,697,2205242.65,60228.639722,59705.28072352,0.5136298421807748,79.0
2024-12-27,260,347913.0,2672.811035,2584.2553884000004,0.4230769230769231,74.0
2024-12-28,161,281555.01,940.673623,892.26513037,0.22981366459627328,72.0
2024-12-29,201,344628.54,2884.067927,2811.9505699,0.31840796019900497,73.0
2024-12-30,304,1073865.73,9009.738137,8724.83181652,0.39473684210526316,65.0
2024-12-31,306,877164.62,5445.01281,5178.49639887,0.3006535947712418,64.0
2025-01-01,96,282582.1,-9528.065345,-9559.66972721,0.3020833333333333,66.0
2025-01-02,361,774674.84,8716.519087,8540.37939377,0.45706371191135736,70.0
2025-01-03,508,771208.99,6028.486793,5817.48895619,0.27165354330708663,74.0
2025-01-04,371,1826029.6199999999,2553.537968,2319.825997,0.20215633423180593,73.0
2025-01-05,239,451943.57,3187.719363,3048.37775203,0.41841004184100417,72.0
